Time,TA
1981.166667,0.401825581
1981.25,-0.354360465
1981.333333,-0.03727907
1981.416667,-0.188046512
1981.5,-0.732604651
1981.583333,0.35777907
1981.666667,0.07094186
1981.75,-0.086209302
1981.833333,0.28844186
1981.916667,0.466093023
1982,0.858988372
1982.083333,1.184674419
1982.166667,0.920325581
1982.25,0.074639535
1982.333333,0.10872093
1982.416667,0.322953488
1982.5,0.714395349
1982.583333,0.15877907
1982.666667,0.15194186
1982.75,-0.497209302
1982.833333,0.20994186
1982.916667,0.057593023
1983,0.531488372
1983.083333,0.433174419
1983.166667,0.980325581
1983.25,0.940639535
1983.333333,0.59172093
1983.416667,0.717453488
1983.5,0.861895349
1983.583333,1.23827907
1983.666667,0.08294186
1983.75,-0.051209302
1983.833333,1.04794186
1983.916667,0.311093023
1984,-0.456511628
1984.083333,-0.264825581
1984.166667,0.130825581
1984.25,0.846639535
1984.333333,0.55022093
1984.416667,0.161953488
1984.5,0.662395349
1984.583333,0.02177907
1984.666667,0.61444186
1984.75,-0.735209302
1984.833333,-0.57205814
1984.916667,-0.517406977
1985,0.199988372
1985.083333,-0.061825581
1985.166667,-0.759674419
1985.25,-0.609860465
1985.333333,-0.84327907
1985.416667,-0.825046512
1985.5,-0.112604651
1985.583333,-0.60022093
1985.666667,0.06944186
1985.75,-0.161209302
1985.833333,0.02044186
1985.916667,0.245093023
1986,0.276988372
1986.083333,0.705174419
1986.166667,0.003825581
1986.25,-0.116860465
1986.333333,-0.41127907
1986.416667,-0.643546512
1986.5,-0.209104651
1986.583333,0.15727907
1986.666667,-0.03605814
1986.75,0.673290698
1986.833333,-0.12705814
1986.916667,-0.043906977
1987,-0.099011628
1987.083333,0.093674419
1987.166667,0.759825581
1987.25,0.253639535
1987.333333,0.32972093
1987.416667,0.270453488
1987.5,0.532895349
1987.583333,0.44027907
1987.666667,1.09044186
1987.75,1.064790698
1987.833333,0.84644186
1987.916667,0.956093023
1988,1.240488372
1988.083333,1.104174419
1988.166667,0.873325581
1988.25,0.099139535
1988.333333,0.22872093
1988.416667,0.104953488
1988.5,0.460395349
1988.583333,0.27727907
1988.666667,-0.03555814
1988.75,0.050790698
1988.833333,-0.08455814
1988.916667,-0.189406977
1989,-0.121011628
1989.083333,-0.965825581
1989.166667,0.020325581
1989.25,-0.741360465
1989.333333,-0.06677907
1989.416667,-0.355546512
1989.5,-0.195604651
1989.583333,-0.42022093
1989.666667,0.20844186
1989.75,-0.379709302
1989.833333,-0.15305814
1989.916667,0.452093023
1990,-0.447011628
1990.083333,0.564674419
1990.166667,-0.501174419
1990.25,-0.087860465
1990.333333,0.37822093
1990.416667,0.024453488
1990.5,0.161395349
1990.583333,0.04177907
1990.666667,-0.02255814
1990.75,0.120790698
1990.833333,-0.15955814
1990.916667,0.029593023
1991,0.205988372
1991.083333,0.675674419
1991.166667,0.502825581
1991.25,-0.041860465
1991.333333,0.17422093
1991.416667,0.773953488
1991.5,-0.114604651
1991.583333,-0.26722093
1991.666667,-0.22855814
1991.75,0.130290698
1991.833333,-0.10705814
1991.916667,-0.107406977
1992,-0.110011628
1992.083333,0.693674419
1992.166667,0.904325581
1992.25,0.250139535
1992.333333,-0.09927907
1992.416667,0.051453488
1992.5,-0.167104651
1992.583333,-1.07522093
1992.666667,-0.77755814
1992.75,-0.358209302
1992.833333,-0.50305814
1992.916667,-0.280906977
1993,-0.876511628
1993.083333,-1.348825581
1993.166667,-0.995174419
1993.25,0.285639535
1993.333333,0.96522093
1993.416667,0.367953488
1993.5,-0.108104651
1993.583333,0.22427907
1993.666667,-0.07405814
1993.75,0.362790698
1993.833333,0.31094186
1993.916667,0.293593023
1994,0.570488372
1994.083333,0.037174419
1994.166667,-0.154674419
1994.25,-0.310360465
1994.333333,-0.35777907
1994.416667,0.052953488
1994.5,0.185895349
1994.583333,-0.11322093
1994.666667,-0.04705814
1994.75,0.226290698
1994.833333,-0.11905814
1994.916667,-0.122906977
1995,0.053988372
1995.083333,-0.275825581
1995.166667,-1.308174419
1995.25,-0.597860465
1995.333333,-0.20727907
1995.416667,0.234953488
1995.5,-0.268604651
1995.583333,-0.31522093
1995.666667,-0.16955814
1995.75,-0.476209302
1995.833333,-0.54305814
1995.916667,-0.787906977
1996,-0.496011628
1996.083333,-0.075825581
1996.166667,-0.308174419
1996.25,-0.497860465
1996.333333,-0.25727907
1996.416667,-0.565046512
1996.5,-0.618604651
1996.583333,-0.46522093
1996.666667,-0.16955814
1996.75,-0.076209302
1996.833333,-0.54305814
1996.916667,-0.587906977
1997,0.403988372
1997.083333,0.574174419
1997.166667,0.491825581
1997.25,-0.497860465
1997.333333,-0.60727907
1997.416667,-0.365046512
1997.5,-0.168604651
1997.583333,0.08477907
1997.666667,0.23044186
1997.75,-0.676209302
1997.833333,-0.49305814
1997.916667,-0.537906977
1998,-0.296011628
1998.083333,-0.175825581
1998.166667,-0.608174419
1998.25,0.352139535
1998.333333,0.59272093
1998.416667,-0.165046512
1998.5,-0.968604651
1998.583333,-1.01522093
1998.666667,-0.46955814
1998.75,-0.526209302
1998.833333,-0.49305814
1998.916667,-0.237906977
1999,0.153988372
1999.083333,0.024174419
1999.166667,-0.108174419
1999.25,-0.897860465
1999.333333,-0.60727907
1999.416667,-0.565046512
1999.5,-0.268604651
1999.583333,-0.16522093
1999.666667,-0.41955814
1999.75,-0.476209302
1999.833333,-0.54305814
1999.916667,-1.087906977
2000,-0.946011628
2000.083333,-0.825825581
2000.166667,-0.158174419
2000.25,0.052139535
2000.333333,-0.20727907
2000.416667,-0.265046512
2000.5,0.231395349
2000.583333,0.23477907
2000.666667,-0.36955814
2000.75,0.073790698
2000.833333,0.15694186
2000.916667,-0.237906977
2001,-0.796011628
2001.083333,-0.675825581
2001.166667,-1.258174419
2001.25,-0.697860465
2001.333333,-0.40727907
2001.416667,-0.865046512
2001.5,-0.718604651
2001.583333,0.13477907
2001.666667,0.43044186
2001.75,-0.076209302
2001.833333,-0.49305814
2001.916667,-0.087906977
2002,-0.046011628
2002.083333,-0.275825581
2002.166667,-0.708174419
2002.25,-0.147860465
2002.333333,-0.15727907
2002.416667,-0.565046512
2002.5,0.381395349
2002.583333,-0.26522093
2002.666667,-0.01955814
2002.75,0.023790698
2002.833333,0.10694186
2002.916667,0.212093023
2003,-0.346011628
2003.083333,-0.175825581
2003.166667,0.191825581
2003.25,0.302139535
2003.333333,0.04272093
2003.416667,-0.315046512
2003.5,-0.218604651
2003.583333,-0.31522093
2003.666667,-0.11955814
2003.75,-0.176209302
2003.833333,-0.09305814
2003.916667,0.162093023
2004,0.353988372
2004.083333,-0.275825581
2004.166667,-0.258174419
2004.25,-0.397860465
2004.333333,-0.30727907
2004.416667,-1.015046512
2004.5,-0.118604651
2004.583333,-0.01522093
2004.666667,0.48044186
2004.75,-0.326209302
2004.833333,-0.19305814
2004.916667,0.362093023
2005,0.503988372
2005.083333,0.424174419
2005.166667,0.391825581
2005.25,-0.097860465
2005.333333,0.24272093
2005.416667,-0.365046512
2005.5,-0.418604651
2005.583333,-0.11522093
2005.666667,-0.16955814
2005.75,-0.226209302
2005.833333,0.15694186
2005.916667,0.362093023
2006,0.203988372
2006.083333,0.724174419
2006.166667,-0.208174419
2006.25,-0.847860465
2006.333333,-0.30727907
2006.416667,-0.065046512
2006.5,-0.068604651
2006.583333,0.53477907
2006.666667,-0.36955814
2006.75,0.323790698
2006.833333,-0.29305814
2006.916667,-0.087906977
2007,-0.346011628
2007.083333,-0.575825581
2007.166667,-0.858174419
2007.25,-0.247860465
2007.333333,-0.05727907
2007.416667,-0.015046512
2007.5,0.031395349
2007.583333,-0.06522093
2007.666667,-0.06955814
2007.75,-0.426209302
2007.833333,0.00694186
2007.916667,-0.337906977
2008,-0.246011628
2008.083333,-0.775825581
2008.166667,-0.358174419
2008.25,-1.097860465
2008.333333,-0.65727907
2008.416667,-0.515046512
2008.5,-0.118604651
2008.583333,0.28477907
2008.666667,0.53044186
2008.75,0.223790698
2008.833333,0.25694186
2008.916667,0.362093023
2009,0.403988372
2009.083333,-0.075825581
2009.166667,0.691825581
2009.25,0.352139535
2009.333333,0.34272093
2009.416667,0.634953488
2009.5,-0.118604651
2009.583333,0.33477907
2009.666667,1.08044186
2009.75,0.123790698
2009.833333,0.15694186
2009.916667,0.262093023
2010,-0.346011628
2010.083333,0.224174419
2010.166667,-0.808174419
2010.25,-0.197860465
2010.333333,0.09272093
2010.416667,-0.365046512
2010.5,-0.018604651
2010.583333,0.08477907
2010.666667,-0.26955814
2010.75,0.123790698
2010.833333,-0.09305814
2010.916667,0.012093023
2011,0.003988372
2011.083333,-0.025825581
2011.166667,-0.058174419
2011.25,-0.097860465
2011.333333,0.24272093
2011.416667,0.934953488
2011.5,1.181395349
2011.583333,0.43477907
2011.666667,0.38044186
2011.75,-0.076209302
2011.833333,0.15694186
2011.916667,0.112093023
2012,-0.096011628
2012.083333,0.224174419
2012.166667,0.041825581
2012.25,0.002139535
2012.333333,-0.15727907
2012.416667,-0.265046512
2012.5,0.281395349
2012.583333,0.18477907
2012.666667,0.18044186
2012.75,0.273790698
2012.833333,0.10694186
2012.916667,-0.087906977
2013,-0.096011628
2013.083333,-0.125825581
2013.166667,0.191825581
2013.25,0.052139535
2013.333333,-0.20727907
2013.416667,-0.565046512
2013.5,0.431395349
2013.583333,-0.16522093
2013.666667,0.38044186
2013.75,0.423790698
2013.833333,0.40694186
2013.916667,-0.437906977
2014,0.353988372
2014.083333,-0.075825581
2014.166667,-0.508174419
2014.25,-0.747860465
2014.333333,0.64272093
2014.416667,0.634953488
2014.5,0.681395349
2014.583333,-0.51522093
2014.666667,-1.41955814
2014.75,0.723790698
2014.833333,0.30694186
2014.916667,0.062093023
2015,0.553988372
2015.083333,0.974174419
2015.166667,0.541825581
2015.25,0.352139535
2015.333333,-1.45727907
2015.416667,-1.465046512
2015.5,0.481395349
2015.583333,0.58477907
2015.666667,0.53044186
2015.75,1.273790698
2015.833333,0.60694186
2015.916667,0.612093023
2016,0.703988372
2016.083333,-0.075825581
2016.166667,1.491825581
2016.25,0.302139535
2016.333333,0.39272093
2016.416667,0.834953488
2016.5,0.981395349
2016.583333,0.48477907
2016.666667,0.88044186
2016.75,0.623790698
2016.833333,0.80694186
2016.916667,1.162093023
2017,1.603988372
2017.083333,-0.075825581
2017.166667,1.291825581
2017.25,0.752139535
2017.333333,0.59272093
2017.416667,4.534953488
2017.5,0.931395349
2017.583333,0.43477907
2017.666667,-0.71955814
2017.75,0.873790698
2017.833333,-0.09305814
2017.916667,0.262093023
2018,-1.046011628
2018.083333,-0.025825581
2018.166667,-0.958174419
2018.25,-0.747860465
2018.333333,-0.10727907
2018.416667,-0.065046512
2018.5,-0.918604651
2018.583333,0.03477907
2018.666667,0.33044186
2018.75,0.173790698
2018.833333,1.00694186
2018.916667,0.662093023
2019,-0.396011628
2019.083333,-0.125825581
2019.166667,0.541825581
2019.25,1.052139535
2019.333333,0.14272093
2019.416667,-0.165046512
2019.5,0.931395349
2019.583333,-0.76522093
2019.666667,0.73044186
2019.75,0.073790698
2019.833333,0.85694186
2019.916667,0.812093023
2020,-0.446011628
2020.083333,-0.575825581
2020.166667,-0.308174419
2020.25,-0.247860465
2020.333333,-0.20727907
2020.416667,-0.365046512
2020.5,-0.068604651
2020.583333,1.58477907
2020.666667,0.08044186
2020.75,0.423790698
2020.833333,0.55694186
2020.916667,1.162093023
2021,-1.396011628
2021.083333,-1.575825581
2021.166667,-1.058174419
2021.25,-0.897860465
2021.333333,-1.00727907
2021.416667,-1.365046512
2021.5,-0.918604651
2021.583333,-0.31522093
2021.666667,-0.61955814
2021.75,-0.576209302
2021.833333,-0.04305814
2021.916667,-1.337906977
2022,1.003988372
2022.083333,0.074174419
2022.166667,1.041825581
2022.25,1.002139535
2022.333333,0.94272093
2022.416667,0.184953488
2022.5,0.381395349
2022.583333,0.03477907
2022.666667,0.43044186
2022.75,0.673790698
2022.833333,0.70694186
2022.916667,0.662093023
2023,-0.996011628
2023.083333,0.124174419
2023.166667,-0.158174419
2023.25,3.902139535
2023.333333,1.14272093
2023.416667,1.434953488
2023.5,-2.868604651
2023.583333,-1.41522093
2023.666667,-2.36955814
2023.75,-2.676209302
2023.833333,-3.34305814
2023.916667,-2.937906977
