year,precip
198101,5.1
198102,6
198103,59.6
198104,204.4
198105,111.3
198106,5.5
198107,5.8
198108,9.7
198109,55.2
198110,40.3
198111,15.4
198112,38.5
198201,1.6
198202,11.3
198203,12.6
198204,109.1
198205,114.6
198206,32
198207,18.6
198208,2.7
198209,52.6
198210,137.4
198211,156.2
198212,104.6
198301,5.3
198302,88.8
198303,28.7
198304,201.3
198305,36.1
198306,41
198307,15.5
198308,15.7
198309,5.6
198310,44.4
198311,32.1
198312,180.5
198401,0.7
198402,4.7
198403,9.6
198404,56.1
198405,1.2
198406,1.2
198407,20.4
198408,11.8
198409,26.9
198410,63.9
198411,90.7
198412,70.5
198501,4.7
198502,75.9
198503,67.8
198504,151.3
198505,68.3
198506,18.2
198507,9.1
198508,2.6
198509,10
198510,33.5
198511,82.6
198512,15.6
198601,11.8
198602,3.5
198603,55.8
198604,127.2
198605,130.1
198606,9.1
198607,0.3
198608,0.3
198609,3.5
198610,11.2
198611,101.3
198612,35.7
198701,16
198702,21.7
198703,39.4
198704,152.6
198705,89.4
198706,18.6
198707,13.6
198708,7.3
198709,15.7
198710,12.5
198711,114.9
198712,12.7
198801,79.6
198802,14.8
198803,144.2
198804,330
198805,130.3
198806,36.1
198807,7
198808,30.4
198809,17.9
198810,12.6
198811,72.6
198812,88.8
198901,69.9
198902,44.7
198903,56.4
198904,119.4
198905,163.1
198906,6.8
198907,44.2
198908,28.1
198909,38.2
198910,70
198911,56.8
198912,83.7
199001,21.3
199002,24.3
199003,203.1
199004,152.1
199005,121.7
199006,14.6
199007,14.5
199008,12.6
199009,8.4
199010,67.4
199011,63
199012,36.4
199101,25.6
199102,6.6
199103,49.9
199104,54.9
199105,124.1
199106,15.3
199107,2.9
199108,23.7
199109,8.3
199110,29
199111,53.5
199112,43
199201,6.2
199202,35.2
199203,17.7
199204,242.5
199205,83.6
199206,12
199207,19.1
199208,4.9
199209,7.4
199210,37.7
199211,44.6
199212,78.2
199301,96.1
199302,43.1
199303,38.4
199304,16.8
199305,33.6
199306,16
199307,3.1
199308,7
199309,3.4
199310,17.2
199311,47.9
199312,80.9
199401,10.4
199402,45.3
199403,56.3
199404,173.3
199405,75.2
199406,12.4
199407,29.5
199408,10.5
199409,3.2
199410,66
199411,185
199412,38.5
199501,16.9
199502,61.6
199503,146.1
199504,97.8
199505,118.7
199506,17.6
199507,8.1
199508,12.8
199509,28
199510,72.4
199511,52.5
199512,29.1
199601,8.1
199602,22.2
199603,112.5
199604,65.1
199605,45.6
199606,23.2
199607,21.4
199608,14.1
199609,12.4
199610,0.3
199611,80.3
199612,1.4
199701,0.1
199702,0.1
199703,22.9
199704,300.7
199705,59.1
199706,14.7
199707,9
199708,17.1
199709,1
199710,111.4
199711,240.3
199712,157.6
199801,192.7
199802,94.6
199803,77
199804,129.4
199805,104.6
199806,40.7
199807,14
199808,19.2
199809,7.9
199810,13.1
199811,43.9
199812,11
199901,9
199902,1.2
199903,192.2
199904,120.3
199905,24
199906,0.7
199907,1
199908,13.9
199909,23.4
199910,22.1
199911,160
199912,92.3
200001,1.3
200002,1.3
200003,26.4
200004,24.7
200005,26.9
200006,12.7
200007,1.6
200008,2.6
200009,16.1
200010,3.1
200011,77.1
200012,76.2
200101,189.2
200102,11
200103,92.5
200104,119
200105,30.7
200106,8.4
200107,16.5
200108,12.4
200109,17.1
200110,21
200111,89.9
200112,21.5
200201,59.6
200202,17
200203,109.4
200204,138.2
200205,89.4
200206,0.1
200207,1.7
200208,5.9
200209,24.3
200210,76.8
200211,102.7
200212,126
200301,41
200302,19.3
200303,27
200304,81.8
200305,174.3
200306,59
200307,0.4
200308,13.5
200309,5.1
200310,26.4
200311,61.3
200312,3.4
200401,19.5
200402,21
200403,43
200404,216.7
200405,46.7
200406,6.2
200407,5.1
200408,4.4
200409,12.6
200410,32.3
200411,44.9
200412,22.9
200501,56
200502,26.4
200503,61.1
200504,102.1
200505,114.9
200506,18.2
200507,8.7
200508,7.2
200509,24.8
200510,8.6
200511,34
200512,1.8
200601,4.9
200602,8.8
200603,79.5
200604,195.4
200605,99.6
200606,0.3
200607,9
200608,17.6
200609,17.8
200610,29.6
200611,129.7
200612,171.2
200701,54.5
200702,59.1
200703,36.6
200704,137.2
200705,51.3
200706,29.8
200707,23.5
200708,23.5
200709,62.1
200710,31.4
200711,17.3
200712,37
200801,44.7
200802,31.9
200803,83
200804,84.8
200805,13.4
200806,0.1
200807,14
200808,14.8
200809,55.7
200810,95.4
200811,67.7
200812,1.4
200901,32.2
200902,16.3
200903,33.1
200904,59.8
200905,89.4
200906,32.9
200907,9.8
200908,7.6
200909,12.3
200910,114.9
200911,55.6
200912,111.5
201001,53.9
201002,34.4
201003,131.4
201004,101.5
201005,172.8
201006,17.6
201007,2
201008,12.6
201009,13.8
201010,23.9
201011,50.1
201012,41.7
201101,2.7
201102,43.3
201103,92.4
201104,28.3
201105,64.1
201106,35.8
201107,13.6
201108,20
201109,21
201110,52.6
201111,41
201112,121.3
201201,0.7
201202,12.3
201203,4.3
201204,277.9
201205,143.7
201206,20.8
201207,5.1
201208,20.6
201209,11.4
201210,38.5
201211,101.8
201212,123
201301,64.1
201302,3.7
201303,119.7
201304,322.5
201305,44.2
201306,19.6
201307,4.6
201308,18.1
201309,24.7
201310,0.5
201311,47.8
201312,127.7
201401,20.8
201402,60.9
201403,102.1
201404,62.8
201405,35.3
201406,34.6
201407,13.7
201408,19.8
201409,21.5
201410,64.3
201411,35.9
201412,60.6
201501,33.5
201502,8.4
201503,34.7
201504,166.6
201505,182
201506,32.5
201507,16.4
201508,7
201509,17
201510,81.3
201511,209.5
201512,109.4
201601,70.9
201602,49.3
201603,36
201604,142.8
201605,106.2
201606,28.7
201607,0
201608,4.2
201609,7.8
201610,7
201611,75.3
201612,8.8
201701,15.6
201702,18.2
201703,35.2
201704,79.5
201705,64.9
201706,5.1
201707,12.9
201708,13.3
201709,24.3
201710,72.8
201711,58.3
201712,16.2
201801,47
201802,22.8
201803,179.3
201804,238.7
201805,153.7
201806,30.3
201807,11.2
201808,9.5
201809,7.1
201810,35.5
201811,43.8
201812,85.9
201901,6.4
201902,0.6
201903,39.3
201904,144.7
201905,44.5
201906,5.5
201907,0.1
201908,1.4
201909,17.9
201910,127.1
201911,161.9
201912,291.2
202001,161.6
202002,65.2
202003,144.6
202004,271.4
202005,113.6
202006,40.3
202007,3.1
202008,9.7
202009,37.6
202010,20.3
202011,108.6
202012,42.5
202101,52.2
202102,119.3
202103,39.6
202104,132
202105,160.2
202106,10.1
202107,8.8
202108,3.8
202109,37.2
202110,108.7
202111,30.6
202112,44.7
202201,49.9
202202,125.2
202203,42.4
202204,185.5
202205,127.9
202206,3.4
202207,16.3
202208,7.5
202209,12.3
202210,18.6
202211,156.6
202212,67.1
202301,12
202302,1.2
202303,145.9
202304,139.8
202305,54.6
202306,4.9
202307,6.2
202308,2.9
202309,64.6
202310,48.3
202311,232.9
202312,97.6