Month,Rainfall
198101,1.383
198102,0.284
198103,114.576
198104,124.381
198105,36.765
198106,1.56
198107,0.234
198108,0.325
198109,8.932
198110,26.581
198111,27.607
198112,32.852
198201,0
198202,4.642
198203,19.998
198204,83.331
198205,56.9
198206,11.443
198207,2.608
198208,0.629
198209,9.698
198210,54.557
198211,176.268
198212,109.765
198301,5.646
198302,107.572
198303,26.958
198304,115.501
198305,25.592
198306,9.692
198307,9.194
198308,5.023
198309,0.926
198310,5.78
198311,17.49
198312,111.43
198401,17.295
198402,0.843
198403,3.605
198404,43.533
198405,0.559
198406,0.961
198407,2.64
198408,1.119
198409,8.619
198410,91.899
198411,145.131
198412,72.023
198501,0.848
198502,104.625
198503,71.721
198504,212.142
198505,51.027
198506,10.429
198507,0.132
198508,1.757
198509,4.909
198510,30.724
198511,77.904
198512,74.929
198601,45.198
198602,0.003
198603,31.008
198604,181.354
198605,58.764
198606,1.335
198607,1.328
198608,0.034
198609,0.079
198610,21.602
198611,135.527
198612,97.444
198701,43.216
198702,6.604
198703,16.316
198704,76.467
198705,29.177
198706,46.171
198707,0.309
198708,18.439
198709,49.263
198710,0.699
198711,62.544
198712,22.103
198801,37.62
198802,6.72
198803,115.69
198804,171.474
198805,4.783
198806,16.098
198807,0
198808,4.97
198809,22.422
198810,5.48
198811,118.163
198812,48.986
198901,83.587
198902,12.046
198903,81.957
198904,144.157
198905,51.851
198906,10.054
198907,0.09
198908,8.378
198909,11.812
198910,79.762
198911,67.105
198912,123.936
199001,58.153
199002,10.3
199003,129.979
199004,179.459
199005,42.83
199006,2.416
199007,0.292
199008,5.239
199009,5.822
199010,19.571
199011,107.954
199012,40.188
199101,1.564
199102,11.153
199103,89.533
199104,42.409
199105,58.282
199106,8.831
199107,0.458
199108,9.488
199109,0.622
199110,53.408
199111,84.332
199112,88.93
199201,4.111
199202,26.999
199203,14.704
199204,221.172
199205,11.075
199206,5.974
199207,2.991
199208,0.289
199209,0.182
199210,32.578
199211,85.271
199212,86.618
199301,222.469
199302,64.158
199303,9.231
199304,5.006
199305,31.111
199306,12.02
199307,0.028
199308,0.591
199309,0.409
199310,25.544
199311,65.87
199312,20.254
199401,19.675
199402,57.61
199403,66.289
199404,98.275
199405,28.661
199406,3.342
199407,3.661
199408,3.085
199409,0.985
199410,44.212
199411,149.498
199412,40.911
199501,32.323
199502,71.829
199503,115.766
199504,81.122
199505,47.685
199506,12.499
199507,2.593
199508,12.361
199509,12.71
199510,85.761
199511,43.715
199512,49.855
199601,17.982
199602,46.909
199603,124.519
199604,89.744
199605,53.895
199606,14.38
199607,1.687
199608,4.059
199609,20.651
199610,0.031
199611,131.445
199612,1.593
199701,4.673
199702,0.026
199703,16.931
199704,234.374
199705,86.764
199706,0.468
199707,0.751
199708,33.125
199709,0.739
199710,148.763
199711,233.541
199712,147.779
199801,208.351
199802,140.598
199803,84.828
199804,72.104
199805,102.986
199806,59.288
199807,11.617
199808,5.793
199809,7.73
199810,0.134
199811,55.183
199812,7.115
199901,7.516
199902,8.466
199903,150.792
199904,37.155
199905,1.892
199906,0.649
199907,1.777
199908,14.161
199909,0.025
199910,6.792
199911,169.732
199912,65.296
200001,2.782
200002,0.296
200003,10.869
200004,45.942
200005,9.105
200006,6.729
200007,0.625
200008,6.529
200009,3.106
200010,13.571
200011,99.582
200012,65.171
200101,239.763
200102,10.314
200103,189.181
200104,89.903
200105,18.849
200106,12.696
200107,17.829
200108,3.322
200109,3.097
200110,14.675
200111,151.897
200112,5.754
200201,60.9
200202,12.441
200203,61.812
200204,140.476
200205,112.793
200206,0.176
200207,0.301
200208,2.533
200209,7.844
200210,75.072
200211,98.693
200212,127.093
200301,5.982
200302,55.766
200303,28.854
200304,104.948
200305,140.388
200306,1.314
200307,1.508
200308,26.265
200309,14.05
200310,31.436
200311,83.173
200312,13.45
200401,47.233
200402,15.897
200403,48.662
200404,71.684
200405,28.217
200406,1.5
200407,0.046
200408,0.127
200409,6.615
200410,50.142
200411,79.95
200412,81.021
200501,56.54
200502,1.248
200503,84.632
200504,127.188
200505,89.134
200506,1.585
200507,0.749
200508,0.929
200509,3.409
200510,34.602
200511,76.788
200512,0.468
200601,27.248
200602,47.533
200603,89.755
200604,169.972
200605,71.573
200606,0.809
200607,4.813
200608,13.224
200609,7.17
200610,22.616
200611,244.173
200612,168.37
200701,105.263
200702,34.459
200703,18.155
200704,171.493
200705,26.745
200706,9.131
200707,10.133
200708,8.801
200709,11.086
200710,26.887
200711,96.314
200712,48.791
200801,43.056
200802,41.662
200803,72.281
200804,99.006
200805,2.804
200806,0.005
200807,11.077
200808,0.693
200809,22.194
200810,67.796
200811,127.615
200812,7.538
200901,35.073
200902,12.257
200903,26.291
200904,75.934
200905,62.719
200906,31.971
200907,1.471
200908,0.415
200909,7.522
200910,35.01
200911,83.19
200912,172.482
201001,111.245
201002,34.943
201003,205.139
201004,69.024
201005,103.508
201006,5.74
201007,0.169
201008,2.189
201009,1.821
201010,21.624
201011,77.49
201012,78.325
201101,2.913
201102,57.515
201103,99.601
201104,13.18
201105,36.818
201106,13.391
201107,4.265
201108,8.581
201109,6.93
201110,79.223
201111,105.537
201112,30.669
201201,3.112
201202,1.091
201203,3.922
201204,347.683
201205,80.021
201206,31.292
201207,0.735
201208,7.537
201209,19.287
201210,67.931
201211,88.387
201212,82.25
201301,28.421
201302,0.028
201303,144.283
201304,135.954
201305,8.31
201306,2.68
201307,1.414
201308,10.619
201309,13.058
201310,5.017
201311,78.402
201312,198.503
201401,37.558
201402,71.261
201403,111.098
201404,43.791
201405,72.486
201406,31.979
201407,7.198
201408,16.565
201409,12.229
201410,59.385
201411,99.972
201412,48.255
201501,6.9
201502,29.559
201503,36.823
201504,138.571
201505,72.543
201506,62.087
201507,4.929
201508,1.406
201509,2.969
201510,54.372
201511,224.124
201512,108.188
201601,98.511
201602,47.874
201603,37.522
201604,192.461
201605,86.471
201606,16.32
201607,0.018
201608,5.6
201609,4.381
201610,12.438
201611,105.677
201612,14.508
201701,16.419
201702,11.885
201703,31.88
201704,102.323
201705,43.668
201706,14.083
201707,11.097
201708,11.502
201709,16.456
201710,78.773
201711,115.718
201712,13.745
201801,51.974
201802,11.6
201803,230.195
201804,258.654
201805,40.138
201806,4.243
201807,15.978
201808,24.853
201809,0.443
201810,23.579
201811,65.055
201812,100.924
201901,5.213
201902,2.519
201903,32.573
201904,165.384
201905,28.108
201906,11.413
201907,1.295
201908,3.557
201909,9.548
201910,165.553
201911,160.971
201912,209.723
202001,146.002
202002,34.991
202003,162.417
202004,222.247
202005,33.633
202006,12.935
202007,1.348
202008,5.26
202009,36.275
202010,39.865
202011,75.628
202012,51.056
202101,36.123
202102,62.948
202103,34.909
202104,99.195
202105,107.612
202106,0.277
202107,2.738
202108,7.998
202109,3.631
202110,20.046
202111,89.219
202112,81.989
202201,60.988
202202,85.073
202203,51.008
202204,128.174
202205,65.126
202206,2.65
202207,10.257
202208,4.408
202209,3.428
202210,16.008
202211,184.872
202212,58.587
202301,17.3
202302,3
202303,111.9
202304,164
202305,25
202306,3.3
202307,0.8
202308,0.5
202309,34.2
202310,28.6
202311,361.2
202312,76.7
