year,tempmax
198101,14.5
198102,15.2
198103,16.5
198104,16
198105,15.8
198106,13.8
198107,12.7
198108,13.4
198109,14.2
198110,14.6
198111,14.8
198112,15.3
198201,15
198202,15.5
198203,15.3
198204,16.3
198205,16.1
198206,14.2
198207,13.8
198208,13.9
198209,14.7
198210,15.5
198211,15.7
198212,15.5
198301,15.5
198302,16.2
198303,16.6
198304,16.7
198305,16.1
198306,14.9
198307,13.9
198308,13.7
198309,13.6
198310,15.1
198311,15.3
198312,15.5
198401,13.8
198402,13.9
198403,15.4
198404,16.2
198405,14.7
198406,13.3
198407,14
198408,13.1
198409,13.8
198410,15.1
198411,15
198412,14.7
198501,14.7
198502,16.2
198503,15.3
198504,16
198505,15.2
198506,13.3
198507,12.7
198508,13
198509,14.2
198510,14.7
198511,15.1
198512,15.1
198601,15.1
198602,14.7
198603,15.5
198604,16.3
198605,15.5
198606,13.7
198607,12.2
198608,11.9
198609,13.8
198610,15.3
198611,15.4
198612,15.5
198701,15.4
198702,15.2
198703,16.1
198704,16
198705,15.7
198706,14.4
198707,13.1
198708,13.9
198709,14.6
198710,15.2
198711,15.9
198712,15.1
198801,16.1
198802,16.1
198803,16.9
198804,16.6
198805,15.7
198806,14.3
198807,13.7
198808,13.9
198809,14.6
198810,14.6
198811,15
198812,15
198901,15.6
198902,14.5
198903,15.6
198904,15.6
198905,15.2
198906,14
198907,13.3
198908,13.4
198909,14.6
198910,15
198911,15.4
198912,16
199001,14.8
199002,16.5
199003,16.7
199004,16.4
199005,15.6
199006,13.5
199007,12.5
199008,13.8
199009,13.4
199010,15.1
199011,15.1
199012,15.1
199101,14.5
199102,15.2
199103,15.6
199104,15.7
199105,15.7
199106,14.4
199107,12.9
199108,12
199109,12.5
199110,14.5
199111,14.6
199112,14.7
199201,14.4
199202,15.3
199203,15.9
199204,16
199205,14.5
199206,14
199207,12.8
199208,12.2
199209,13.1
199210,14.3
199211,14.6
199212,15
199301,15.6
199302,15.1
199303,14.9
199304,15.8
199305,15.6
199306,14.9
199307,12.8
199308,13.2
199309,13.3
199310,15.2
199311,15.4
199312,15.7
199401,15.5
199402,15.6
199403,16.3
199404,16.2
199405,15.6
199406,14.3
199407,13.9
199408,14
199409,14.3
199410,15.8
199411,15.9
199412,15.4
199501,14.6
199502,14.6
199503,15.4
199504,15.7
199505,15.4
199506,13.7
199507,13
199508,12.8
199509,13.9
199510,14.8
199511,14.5
199512,14.4
199601,14.4
199602,15.4
199603,16
199604,15.5
199605,15.4
199606,14.6
199607,12.9
199608,12.2
199609,13.6
199610,14.3
199611,14.8
199612,14.1
199701,14.7
199702,14.3
199703,15.8
199704,15.9
199705,14.9
199706,14.3
199707,13.1
199708,13.1
199709,13.6
199710,15.4
199711,15.7
199712,15.9
199801,16.7
199802,16.1
199803,16.1
199804,16.6
199805,16.1
199806,14.1
199807,13.1
199808,13.2
199809,13.9
199810,13.6
199811,14.3
199812,13.6
199901,14.4
199902,14.1
199903,16
199904,15.5
199905,14.7
199906,13.3
199907,13
199908,13.6
199909,13.5
199910,14.3
199911,14.9
199912,15
200001,13.8
200002,13.1
200003,15.4
200004,15.5
200005,14.4
200006,13.8
200007,13
200008,13.2
200009,13.2
200010,14.6
200011,15.2
200012,15.3
200101,15.6
200102,15.5
200103,15.1
200104,15.9
200105,15.1
200106,13.5
200107,12.5
200108,12.7
200109,14
200110,14.8
200111,15
200112,14.9
200201,15.4
200202,14.9
200203,15.8
200204,16.2
200205,15.3
200206,13.5
200207,12.6
200208,13.6
200209,13.7
200210,15.3
200211,15.5
200212,16
200301,14.7
200302,14.6
200303,15.4
200304,16
200305,15.8
200306,14.2
200307,12.8
200308,12.9
200309,14.3
200310,14.8
200311,15
200312,14.4
200401,15.6
200402,15.8
200403,15.9
200404,16
200405,14.8
200406,12.8
200407,11.3
200408,12.6
200409,14.2
200410,15
200411,15.2
200412,15.6
200501,15.1
200502,15.2
200503,16.3
200504,15.9
200505,15.7
200506,14.4
200507,12.9
200508,13.4
200509,14.3
200510,14.6
200511,15
200512,14.4
200601,14.8
200602,15.9
200603,16.5
200604,16.1
200605,15.2
200606,13.9
200607,13.7
200608,13.3
200609,14.3
200610,15.3
200611,15.8
200612,16.2
200701,15.7
200702,15.4
200703,15.3
200704,15.7
200705,15.5
200706,14.2
200707,13.5
200708,14.1
200709,14.1
200710,15
200711,15.1
200712,14.6
200801,14.7
200802,14.9
200803,15.8
200804,15.4
200805,14.7
200806,13.8
200807,13.4
200808,13.9
200809,14.4
200810,15.8
200811,15.4
200812,14.8
200901,15.1
200902,15.5
200903,15.9
200904,16.2
200905,15.8
200906,14.4
200907,12.3
200908,13.8
200909,14.8
200910,15.6
200911,15.5
200912,15.7
201001,15.5
201002,17
201003,16.2
201004,16.4
201005,15.9
201006,14.3
201007,13.1
201008,13.6
201009,13.8
201010,15.2
201011,15.2
201012,14.9
201101,14.6
201102,14.9
201103,15.9
201104,16.1
201105,15.6
201106,14.8
201107,13
201108,14.3
201109,15.1
201110,15.6
201111,15.7
201112,15.6
201201,13.5
201202,14.8
201203,15.3
201204,16.4
201205,15.4
201206,14.3
201207,13.6
201208,13.2
201209,14
201210,15.4
201211,15.3
201212,15.5
201301,15.4
201302,15.2
201303,16.6
201304,16.2
201305,14.9
201306,13.7
201307,12.7
201308,13.5
201309,14.2
201310,14.9
201311,15.4
201312,15.3
201401,15
201402,16
201403,15.9
201404,15.3
201405,15.8
201406,15
201407,13.9
201408,13.2
201409,12.7
201410,15.6
201411,15.3
201412,15.1
201501,14.5
201502,15.4
201503,15.6
201504,16.5
201505,15.9
201506,15.5
201507,13.4
201508,13.8
201509,14.1
201510,16
201511,15.8
201512,15.9
201601,16.4
201602,16.3
201603,16.9
201604,16.9
201605,15.4
201606,14
201607,12.9
201608,12.6
201609,14.5
201610,14.6
201611,15.3
201612,15.3
201701,15.6
201702,14
201703,16.9
201704,16.1
201705,15.7
201706,20.7
201707,13.9
201708,14.3
201709,15
201710,15.7
201711,15.5
201712,15.3
201801,14.6
201802,15
201803,16.1
201804,15.6
201805,15.1
201806,14.2
201807,12.8
201808,12
201809,14.3
201810,15.4
201811,15.7
201812,16.1
201901,14.1
201902,14.4
201903,15.2
201904,15.9
201905,15.9
201906,14.9
201907,13.6
201908,12.6
201909,14.8
201910,16.2
201911,16.5
201912,17.1
202001,15.8
202002,15.7
202003,16.4
202004,16.6
202005,15.8
202006,13.9
202007,13.4
202008,13.3
202009,14.5
202010,15.7
202011,16.2
202012,15.4
202101,13.7
202102,13.7
202103,14.2
202104,14.6
202105,14.3
202106,12.7
202107,12.3
202108,12.4
202109,13.2
202110,13.8
202111,13.9
202112,14.1
202201,16.1
202202,17
202203,17.1
202204,17.3
202205,16.8
202206,14.8
202207,14.3
202208,14.1
202209,15.4
202210,16
202211,16.9
202212,16.9
202301,13.8
202302,14.5
202303,16
202304,22.1
202305,16.1
202306,13.7
202307,10.1
202308,11.5
202309,11.4
202310,12.3
202311,12.9
202312,12.7